TP/SL,type,entry_time,entry_price,exit_time,exit_price,percentual_difference,leveraged percentual_difference,cumulative_profit
TP,SHORT,2021-11-28 01:39:28.682,580.98,2021-11-28 01:40:31.968,579.64,0.1510855013456683,0.7554275067283416,0.7554275067283416
SL,SHORT,2021-11-28 01:40:41.202,579.58,2021-11-28 01:40:44.264,579.51,-0.06792566133456715,-0.3396283066728357,0.41579920005550586
SL,SHORT,2021-11-28 01:40:44.771,579.5,2021-11-28 01:41:06.201,579.51,-0.08172490552363047,-0.4086245276181524,0.00717467243735348
SL,SHORT,2021-11-28 01:41:07.587,579.5,2021-11-28 01:41:08.833,579.51,-0.08172490552363047,-0.4086245276181524,-0.4014498551807989
SL,SHORT,2021-11-28 01:41:10.220,579.5,2021-11-28 01:41:11.498,579.51,-0.08172490552363047,-0.4086245276181524,-0.8100743827989513
SL,SHORT,2021-11-28 01:41:11.997,579.47,2021-11-28 01:41:13.251,579.62,-0.10586867257858207,-0.5293433628929103,-1.3394177456918617
SL,SHORT,2021-11-28 01:41:13.744,579.61,2021-11-28 01:41:15.003,579.5,-0.0610257118205326,-0.305128559102663,-1.6445463047945248
SL,SHORT,2021-11-28 01:41:15.499,579.47,2021-11-28 01:41:16.752,579.44,-0.0748246582907682,-0.37412329145384104,-2.018669596248366
SL,SHORT,2021-11-28 01:41:17.247,579.43,2021-11-28 01:41:18.503,579.44,-0.08172511390309686,-0.40862556951548434,-2.42729516576385
SL,SHORT,2021-11-28 01:41:19.001,579.43,2021-11-28 01:41:21.161,579.66,-0.11966256081151333,-0.5983128040575667,-3.025607969821417
